"","Nest_ID","a5x5_areawm","a500_areawm","a750_areawm","a1000_areawm","a5x5_areamn","a500_areamn","a750_areamn","a1000_areamn","a5x5_areacv","a500_areacv","a750_areacv","a1000_areacv","a5x5_proxmn","a500_proxmn","a750_proxmn","a1000_proxmn","a5x5_proxam","a500_proxam","a750_proxam","a1000_proxam","a5x5_pland","a500_pland","a750_pland","a1000_pland","a5x5_np","a500_np","a750_np","a1000_np","a5x5_Ha","a500_Ha","a750_Ha","a1000_Ha","a5x5_Bu","a500_Bu","a750_Bu","a1000_Bu"
"15","EMFWOR_NCAMC4-01A_2020",0.09,7.8589301,5.1106801,4.8133702,0.09,0.746667,0.554516,0.54,0,308.6319885,286.6440125,281.3120117,0.395641,11.1528997,8.0097303,7.0058198,0.395641,12.6875,12.0563002,11.7718,20,28.1054001,19.4799004,17.7765007,6,31,70,119,0,2.1087699,2.8046899,5.8961601,100,75.9156036,66.7006989,62.5110016
"16","EMFWOR_NCAMC4-07A_2016",0.09,2.55562,11.1499004,31.8635006,0.09,1.01647,1.36588,1.61836,0,123.0530014,267.6400146,432.3049927,0.0769231,6.77913,14.4146996,29.0573997,0.0769231,8.1410398,14.6330004,14.3732996,8,24.0902996,26.3131008,29.0114002,6,24,49,87,0,0,0,0,0,0,0,0
"17","EMFWOR_NCAMC4-07A_2018",0.72,1.99098,8.3870096,17.6305008,0.72,0.82,1.1375,1.67667,0,119.5,252.4519958,308.4670105,0,5.6258998,11.0403004,19.5307999,0,7.6350298,10.9535999,28.1348991,32,20.5771999,23.2024002,29.5100994,4,24,48,85,0,0,0,0,0,0,0,0
"18","EMFWOR_NCAMC4-07A_2019",0.27,1.52622,2.7874,9.7804499,0.27,0.559565,0.813913,1.3890001,0,131.4349976,155.7140045,245.7920074,0,4.0424099,6.58952,15.8381004,0,5.9038901,7.5138898,15.4937,12,17.9423008,21.2136993,27.1634007,2,25,53,83,0,0,0,0,0,0,0,0
"19","EMFWOR_NCAMC4-09A_2020",0.51,1.4579999,1.94259,3.8398499,0.27,0.433929,0.649565,0.839531,94.280899,153.6230011,141.0890045,189.0449982,1.00218,4.2769799,6.2059999,8.7692699,0.5748,6.87816,7.2337499,13.7554998,36,16.9384995,16.9300995,17.5125008,5,29,52,71,0,0,0,0,0,0,0,0
"20","EMFWOR_NCAMC4-10A_2016",0,1.623,5.9575701,7.5693498,0,0.514286,0.788684,0.907031,0,146.8280029,256.0039978,271.019989,0,4.5036302,6.1449099,9.9089298,0,6.8363199,6.04246,8.5282297,0,15.0565004,16.9811001,18.9204998,2,24,51,82,0,0,0,0,0,0,0,0
"21","EMFWOR_NCAMC4-10A_2017",0.27,1.45191,1.67064,4.43472,0.18,0.470769,0.595532,0.884286,70.710701,144.3650055,134.3609924,200.375,0.565705,4.62357,5.6271901,8.8954496,0.446314,6.9834099,6.9008198,12.2446003,24,17.0639992,15.8592997,18.1578007,4,28,51,75,0,0,0,0,0,0,0,0
"22","EMFWOR_NCAMC4-10A_2018",0.135,1.27692,1.81848,3.50313,0.12,0.49875,0.568723,0.738806,35.3553009,124.9089966,148.2389984,193.4320068,0.449074,4.7249899,5.5534902,7.4896002,0.430556,6.4534602,6.95048,12.4851999,16,16.6875992,15.1452999,16.1338005,4,26,50,75,0,0,0,0,0,0,0,0
"23","EMFWOR_NCAMC4-10B_2018",0,2.2204101,10.0436001,13.0479002,0,0.657,1.10483,1.22464,0,154.2599945,284.4410095,310.7160034,0,1.95781,8.90658,14.7007999,0,0.943351,5.76648,18.9188004,0,9.1593504,18.1539993,22.3526001,1,21,46,76,0,0,0,0,0,0,0,0
"24","EMFWOR_NCAMC5-01A_2015",0.09,12.5691004,9.9559097,7.8882499,0.09,4.77,1.83913,0.975789,0,127.8679962,210.0809937,266.1570129,0.2,25.9326992,17.4545002,10.4209995,0.2,6.0720901,18.1657009,16.0650997,8,33.2496986,23.9673996,18.1285,3,12,31,70,0,0,0,0,0,0,0,0
"25","EMFWOR_NCAMC5-01A_2017",0.09,12.5691004,9.9559097,7.8882499,0.09,4.77,1.83913,0.975789,0,127.8679962,210.0809937,266.1570129,0.2,25.9326992,17.4545002,10.4209995,0.2,6.0720901,18.1657009,16.0650997,8,33.2496986,23.9673996,18.1285,3,12,31,70,0,0,0,0,0,0,0,0
"26","EMFWOR_NCAMC5-01A_2018",0.09,12.5691004,9.9559097,7.8882499,0.09,4.77,1.83913,0.975789,0,127.8679962,210.0809937,266.1570129,0.2,25.9326992,17.4545002,10.4209995,0.2,6.0720901,18.1657009,16.0650997,8,33.2496986,23.9673996,18.1285,3,12,31,70,0,0,0,0,0,0,0,0
"27","EMFWOR_NCAMC5-01A_2020",0.9,13.5930004,10.5537996,8.3336296,0.9,3.645,1.4687999,1.1087199,1.2e-06,165.2030029,248.7030029,255.272995,0,26.3740997,14.4278002,11.0150003,0,8.9800701,13.1470003,16.4449997,40,30.4892998,20.8057003,16.9845009,3,12,35,61,0,0,0,0,0,0,0,0
"28","EMFWOR_NCAMC7-06A_2015",0,18.4160004,53.0614014,183.1040039,0,5.04,11.21,14.4692001,0,162.9100037,193.2200012,341.3900146,0,36.3045998,141.6410065,319.4909973,0,33.3423996,103.0459976,11.2735004,0,49.1843987,57.1646996,61.3083,1,22,37,55,0,0,0,0,0,0,0,0
"29","EMFWOR_NCAMC7-06A_2018",0,17.5118999,50.2449989,178.345993,0,4.9757099,14.1042995,14.1576996,0,158.7279968,160.0749969,340.54599,0,40.2435989,124.8899994,313.348999,0,34.6796989,104.0230026,11.6946001,0,48.5570984,55.9407997,59.9883003,1,21,36,55,0,0,0,0,0,0,0,0
"30","EMFWOR_NCAMC7-06A_2020",0,24.3628006,60.1929016,192.0059967,0,9.2475004,11.6800003,19.6469994,0,127.848999,203.8009949,296.1889954,0,42.8036995,120.8160019,400.2539978,0,26.5158997,97.4294968,10.9811001,0,51.5684013,59.5614014,64.0363998,2,20,38,48,0,0,0,0,0,0,0,0
"31","EMFWOR_NCAMC8-06A_2016",0.18,1.93291,1.40786,2.22228,0.18,0.6795,0.565714,0.715263,0,135.8159943,122.0100021,145.1529999,0,4.8359299,4.9893799,6.4987001,0,5.44138,6.2389202,6.3938999,8,18.9459991,15.7062998,17.7178001,2,28,60,99,0,0,0,0,0,0,0,0
"32","EMFWOR_NCAMC8-07A_2017",0.09,1.35321,2.3643899,5.1498399,0.09,0.63,0.825429,0.971379,0,107.1429977,136.5449982,207.4019928,0,3.2925899,5.41712,7.5199399,0,3.06128,4.9114799,8.1781998,4,14.0527,16.3691998,18.3631992,2,21,49,83,0,0,0,0,0,0,0,0
"33","EMFWOR_NCAMC8-07A_2018",0.09,1.35321,2.3643899,5.1498399,0.09,0.63,0.825429,0.971379,0,107.1429977,136.5449982,207.4019928,0,3.2925899,5.41712,7.5199399,0,3.06128,4.9114799,8.1781998,4,14.0527,16.3691998,18.3631992,2,21,49,83,0,0,0,0,0,0,0,0
"34","EMFWOR_NCAMC8-07A_2019",0.09,1.35321,2.3643899,5.1498399,0.09,0.63,0.825429,0.971379,0,107.1429977,136.5449982,207.4019928,0,3.2925899,5.41712,7.5199399,0,3.06128,4.9114799,8.1781998,4,14.0527,16.3691998,18.3631992,2,21,49,83,0,0,0,0,0,0,0,0
"35","EMFWOR_NCAMC8-09A_2019",0,1.85264,7.67976,8.2635002,0,0.636,1.27,1.19204,0,138.3099976,224.6569977,243.5619965,0,3.38678,8.4599504,13.4891005,0,2.2636199,5.91572,11.0379,0,13.2999001,19.4288998,19.0377998,1,24,47,80,0,0,0,0,0,0,0,0
